name,email,password_hash,balance
Diana Jesus,diana.jesus@catchit.pt,$2b$12$vBWrLqYg2xUe52YgHE6ALOO8Uc6mD0C.6/VP1otLslzbaoyE0zjYq,43.27
Maria Carvalho,maria.carvalho@catchit.pt,$2b$12$RVAx.tWhrG3xpFAfKu2rOOxeJcT9oSrql3kVbL4dON.uPASxbpRxO,399.71
Rui Carvalho,rui.carvalho@catchit.pt,$2b$12$JanUaCtRb.Hjomfy9DQ52OkClIytTaA38AktelWF9LF1W4yXtGwFu,245.92
Francisca Coelho,francisca.coelho@catchit.pt,$2b$12$gNj6MbNOLt0iyYAXMLWoXOALZMrApQWdC.WjYMTULSZZHZ3gTGLSu,17.18
Renato Teixeira,renato.teixeira@catchit.pt,$2b$12$eTRNlFjla5tJcWHDjSNIIuN0B4ziTUj5Bmiy6tjz./MxGGQojRt.i,223.57
Cláudia Silva,claudia.silva@catchit.pt,$2b$12$r.5cvsF79.7k8yATuKmNLOvmBSiBB1TPIqMWHX.ApPvNeEVcPyYW.,34.27
Mariana Martins,mariana.martins@catchit.pt,$2b$12$vKnAQhlLAWWH3IQfIdmUl.UjgLRMbEd0fL3axcQe1t.bidcqBbeAq,317.88
Leonor Vieira,leonor.vieira@catchit.pt,$2b$12$eQCjktv69ePI6Tk0NI96T.r4HuZ9/IBdhCaEW0yLuXUVNUkTPymVi,366.74
Vanessa Gonçalves,vanessa.goncalves@catchit.pt,$2b$12$JJTYvfH9Xr.nsj4RztnqQuy0.pNAMnJmRPaPRDlisr95SuSfJGbhG,336.74
Jorge Pereira,jorge.pereira@catchit.pt,$2b$12$lp37h83ESAnh7eqzQWUrAeuhZENXbJ.fCP5zVFJbu6IwgtmdWsWLK,169.65
Fernando Abreu,fernando.abreu@catchit.pt,$2b$12$jFuqWq4Pwl1/HholJt/4neTBoqejnTIQzdHghhUigVTz12jc/iudS,245.66
Helena Santos,helena.santos@catchit.pt,$2b$12$3bHipB1ORDamCKd92M/6HuMRVVyhkf1IxJpQGYhFEB9FNwhMg9YNm,242.28
Diana Teixeira,diana.teixeira@catchit.pt,$2b$12$KYPKwtHByCf01jP2VS5EDeCH59H1PjK2IomusnKT3NUR/Mh2v/KfS,356.38
Joana Pinto,joana.pinto@catchit.pt,$2b$12$ouethE39H6Yl2LtLKsCCp.V1o0JOclGhS8WKMyw7t.h5/VbaMOc3K,228.68
Sofia Abreu,sofia.abreu@catchit.pt,$2b$12$ds6hTUbBfbsF5ljckoigzegIW.s1ka.W3IpXKiXamwX771DxUq/pW,296.24
Mariana Alves,mariana.alves1@catchit.pt,$2b$12$OpS174XIWaNppTRlAljBXuUJwl6VQfJ.qsDToCa5RDEyWsKdgvwBW,58.08
Susana Azevedo,susana.azevedo@catchit.pt,$2b$12$6PzfqB4PKwIxFsgzbdUla.qR0rnWWTD6c6CmTT/Ol8rHkDKq7GLlO,134.83
Paulo Barbosa,paulo.barbosa@catchit.pt,$2b$12$q6bhyghgYe1ktN/8T/up9.hB75b2XecotG.q.mF/4ZieUTPKjd2Gy,323.56
Pedro Pinto,pedro.pinto@catchit.pt,$2b$12$lqBryoi2nTO95aRPD89m8O6xynb/scUddw658TwunzGlFCRV6NJuy,474.7
Ana Costa,ana.costa@catchit.pt,$2b$12$wuIeh.ZSrN5EJ1msnSkKr.gA6MH7HyKUgOE2jOa97dUz829ud8F3W,488.76
Rodrigo Azevedo,rodrigo.azevedo@catchit.pt,$2b$12$N7uNweHhP1nJS.of/7y7r.bGHUc1DmPPl5wm6GibOWPGNcozKKCO2,328.35
Diogo Almeida,diogo.almeida@catchit.pt,$2b$12$ddKYsR7aFpd2h7/wCBGULO1RIlEvjb5ruI3snvDKRZ54EREvvEi86,399.35
Afonso Cardoso,afonso.cardoso@catchit.pt,$2b$12$k9Gr.o4dgaFlhHmSMYRVieKyD3v3YOoMi7AnUgjwW3OeBNUK1O70O,77.09
Jorge Cruz,jorge.cruz@catchit.pt,$2b$12$2JGAD5292LjzL.F54GZg9uEA7smJr7KlRqFt6TIbhvWuZ1GzoGTUW,457.23
Nuno Rodrigues,nuno.rodrigues@catchit.pt,$2b$12$Q3BJfqv8WJaybNEdLQ3bGuOhREYB4zNUl0VQFfCKRqSBTBWZRBdda,196.91
Marta Ribeiro,marta.ribeiro@catchit.pt,$2b$12$a71hHxtbypfg.Bsq1SJD9.tYVoLtKiKBECljQuBsorf5iHiKPbypC,122.36
Alexandre Figueiredo,alexandre.figueiredo1@catchit.pt,$2b$12$tKXLtOCX3uCT3pOYK.EnIuVPr4aZK.gSBQOEedkj.wdXH7OhuR7Na,342.57
Teresa Fernandes,teresa.fernandes@catchit.pt,$2b$12$7Z2HwVaWtCZnlnP9uaTBD.3ITxDKPwvOcUfivz7OSbTyX461CLQx.,310.02
Miguel Abreu,miguel.abreu@catchit.pt,$2b$12$tmKeqhfPhaORkM0Mco.0deFxzRMg1HU8comRZjCMwlQOP9hGVBH2O,44.16
Afonso Martins,afonso.martins@catchit.pt,$2b$12$lecaXb66FU1i3EAqYjUF1eJyk1cyLA/iwOCQ7l06fIgFXZvX0mVg6,198.85
Mónica Reis,monica.reis1@catchit.pt,$2b$12$GbaDP4z0nQi1Su/Tlzwo2OT8ZRkZn8l9cIQ3n/dvIo2au23BcBgXK,234.64
Marco Ribeiro,marco.ribeiro2@catchit.pt,$2b$12$EQmcDKuO9ZUBmhUnqgbzr.DDLDdEh762hALJIHkpu58x2CWFL0yoq,102.31
Susana Tavares,susana.tavares@catchit.pt,$2b$12$YCxiFtLbbEMcYenLMYF.uuQemY8bdOte47sHWYrJVmlPIjOMO/Niu,123.97
Raquel Figueiredo,raquel.figueiredo2@catchit.pt,$2b$12$F7QKrNzEwUfjdqoSiSZCxOisKgvxNJbYbW//l6CRQolvRU.ZylLWK,469.18
Marco Barbosa,marco.barbosa@catchit.pt,$2b$12$eezOXactsbJTv/FcLvRrFeWDBKE3PzPhV7SZ2F44dQ31hTwJdsBqa,451.27
Teresa Jesus,teresa.jesus1@catchit.pt,$2b$12$cqkFVi/IOsqAzHo5i38v/.7rzBKOU2ghemeutAxOcgixrLh2EQukO,77.39
Maria Teixeira,maria.teixeira@catchit.pt,$2b$12$860nBA6DAqGDb6iCOvNNCuxyttxnqkyFxV9z0VQ070ApB1L.bzSwG,455.67
Joana Fonseca,joana.fonseca@catchit.pt,$2b$12$BuAjqYf9187STrtN6gUIPOgd8YzeBSSPAzKcAURXYkchpcSXujveK,421.07
Jorge Alves,jorge.alves@catchit.pt,$2b$12$8Y3nq1Wy19sRPdlFkSodU.z8I/kmWH.VMGR4yJcBPzyGvskttvYKm,191.07
Hugo Mota,hugo.mota1@catchit.pt,$2b$12$rroJcs8RfGBKd8nZu3QBdOiQCLwcGVB7Ibp3yWicekafWSQHVDc6m,422.09
Marco Mota,marco.mota@catchit.pt,$2b$12$8VdZ9Bz5RxV9tWImhoo3Lu1asm0Zx9ry9ClPzQZrTLQ5gEqC5fn3W,49.12
Beatriz Ferreira,beatriz.ferreira@catchit.pt,$2b$12$GMG6NubO8kJbQTW4Q8mimeLg0lWxvDXogzi7JXTDnsTCJVkK8mSP6,258.63
Renato Martins,renato.martins@catchit.pt,$2b$12$aCXXax4m7WT6/O4b4sWqUepTB8cHeP4fJYyyNFw8kshOyltcjbs.2,109.47
Hugo Rocha,hugo.rocha@catchit.pt,$2b$12$1v7XCmLSr.mXwphccR1WC.vOfUTWTeL02MydSGWc3wUqzvTedmRU2,57.04
Cláudia Silva,claudia.silva1@catchit.pt,$2b$12$IMJi2StNHiifJmnd8Atk2eCv8MFXkTvOdfI2BjjwmQZsqZMt1lTQG,435.52
Maria Tavares,maria.tavares2@catchit.pt,$2b$12$N15vP/KTxuqMyfoC22DuTuRXscrLaukbMx5C8VwI8JSp.zpe1slWa,388.82
Eduardo Macedo,eduardo.macedo2@catchit.pt,$2b$12$ThI3bXN65IG4CHwrsiYVvO0WDyrEFL5LVL8NEV9Oxw3Yt6g4ZzVnW,400.08
Ricardo Freitas,ricardo.freitas@catchit.pt,$2b$12$qrWNbFuUFO/uBlIl1fqejO8JpaaGj/C2txJFIwa/GJ99LUNBaKCPu,24.43
Pedro Rocha,pedro.rocha1@catchit.pt,$2b$12$jHgc7XLFDs.kAoLqew1pge0rsF.8.fzO/js4oUm6/s9vpntVZGoZy,290.08
Sérgio Pires,sergio.pires@catchit.pt,$2b$12$RU5nZiabCxV9A.Fa2zRLweP5qtU.5UnqJrfgDUCdOz3nhHFJZGG.W,146.35
Pedro Freitas,pedro.freitas1@catchit.pt,$2b$12$bLP6LrBb6Rve0Yyms05XI.30XogMkXgKAKS3jzk.1SnQjEb1/Hbra,46.95
Helena Mendes,helena.mendes@catchit.pt,$2b$12$aKofdqASi5psVFr8hJpaCu6mJXaA93Prnhb6nnNKrR2xV1.rbKEYS,152.52
André Barbosa,andre.barbosa@catchit.pt,$2b$12$PcYVJpxjqzKAjCkV1wBfnuQwH4LWaeg4iFhlWPR2hzMx.JR0HVIte,186.59
Ricardo Abreu,ricardo.abreu@catchit.pt,$2b$12$9qiOcK1hD/YscCOgLMOE5O44SVY.mkcJSpkrkQQMQHpmhu.a4IsV2,453.31
Sara Teixeira,sara.teixeira@catchit.pt,$2b$12$9LqpsXQgZ9Ch0OMekWBm4O4eatm6Eg0XcK31B13fsDUQphGiWKPmK,17.4
Susana Ferreira,susana.ferreira@catchit.pt,$2b$12$3adx4V.5sPJu0XP.h/ysbuT7uVDE8aJR3Qpa23WLkYfVimKmWb3NO,436.51
Daniela Marques,daniela.marques@catchit.pt,$2b$12$o.5G.Axte8rwqQhWe187Deeq1RtcukSQNh3oDWzsu6b8vW/b9Ujv6,203.67
Sara Fonseca,sara.fonseca@catchit.pt,$2b$12$63keCgVpCa.xaqEHqGH2hOYwgWQjkd4wJzBfmJl2Z70evvaOduIC.,108.34
Gonçalo Barbosa,goncalo.barbosa1@catchit.pt,$2b$12$b/hGj17CtC1nfLG2vFn9R.eFnZlNqQ9bOunyztblsGdk9UtyEn0dO,453.31
Filipa Martins,filipa.martins@catchit.pt,$2b$12$1WH35sNGYztgAxXBkgcH1OmEpmjiOFwKp.WEy6nRMiHuvxuuFI5sG,283.14
Mariana Cruz,mariana.cruz1@catchit.pt,$2b$12$89OM93a9t5hSn3w3VG3g0e9ieghFDvEMIoAq3bkTmV390f9RYIXhu,236.46
Francisca Melo,francisca.melo@catchit.pt,$2b$12$w1a45PAgyt8Ar8dNql9NJu7c5inEy6XDl/8yo5FcyEcH0ejEozvDq,368.9
Bruno Almeida,bruno.almeida1@catchit.pt,$2b$12$lOq4FficIJvsmADAD8qnkOsPe3ztZ3GD9brobUI4vMCPZpuaFeY72,127.95
Vasco Sousa,vasco.sousa@catchit.pt,$2b$12$qjMAtIPZ3eJd1WGcXsMIY.4wqBwDSpBYgtVqmowQrXXdL0fUwxjUm,348.78
Catarina Fernandes,catarina.fernandes@catchit.pt,$2b$12$M.EnI1I7NO8T1LaJGa.bVuDcG3KUbmuezO3pUz1RHz1LBw4/SNZAW,50.75
Alexandre Reis,alexandre.reis1@catchit.pt,$2b$12$7By7vLMo0GMVNP3kbUyEt.RR0wtOeylhyCvWcPPa4ooyFZX1HN292,235.48
Bruno Ramos,bruno.ramos@catchit.pt,$2b$12$3X/1MmL2.xOMgadmLxWLyeQZRn6k/d5MrPult9ewBVbZEv5s9vKo6,324.12
Vanessa Azevedo,vanessa.azevedo@catchit.pt,$2b$12$tT5kggwOMXdtLh5vBjO/8u6oF9WR8RcgtvNYEnm2oN1GWRgu5DX/q,405.77
Hugo Almeida,hugo.almeida@catchit.pt,$2b$12$ir4/11Q9d.5Ci1gKjC6aTuSs00Rt6LcFCxOgcM6aSr.8I/sd0ZPCG,492.64
Carla Simões,carla.simoes@catchit.pt,$2b$12$icE8io095L55dHvPzetTCuXQPxhManb1hk4JIHoSv1Zaq/d213Orq,165.55
Raquel Figueiredo,raquel.figueiredo3@catchit.pt,$2b$12$OcQJb0FC.A/ohp0oHGx35O/Us6dszSA2MijONLCpOCDNhfgAgdWzO,251.59
Daniela Fernandes,daniela.fernandes1@catchit.pt,$2b$12$tA8HoN96IkV4WSakc52WTelFzm.HMIFlvnVlUeHofNciWS4uj/tTe,123.74
Beatriz Moreira,beatriz.moreira1@catchit.pt,$2b$12$8TjmjcSnWW25zid8BcGqDOoIaGIMFFrDUMP4WAvpjp97e2F9QNp8u,77.07
Sara Tavares,sara.tavares@catchit.pt,$2b$12$.H9RCB1bCSoUVnO/gBPFI.xzd29uNRIq42VnxK9HsU/.poov1FAIC,434.68
Ana Mendes,ana.mendes@catchit.pt,$2b$12$Q2e1mYhfafO7yXuZddz3q.nEfNTQTuw1jedLlc0qQlh20FQjvYJc.,166.84
Bruno Silva,bruno.silva@catchit.pt,$2b$12$w07qNvZn1J.fGGhcElMtDOHBopcfJutBYE9jLcQrztwln9gwa5xJO,350.51
Paulo Gonçalves,paulo.goncalves1@catchit.pt,$2b$12$bTyr1Sn1KfVQi.h7Wm800eAfnxJhhqHpB6ryFHNt8zBGdiHi6NXs2,267.87
Mónica Figueiredo,monica.figueiredo@catchit.pt,$2b$12$bE0NFSrxE1B30rUfKvbnG.Bz0Zzn/cu3mNl6c114KJ/HiHqMQP/H.,87.44
Vanessa Ferreira,vanessa.ferreira@catchit.pt,$2b$12$dESeYe1JG5SjUKumtknp4u5CrZlo2queSWUDRb3DO7xwE2c6aoKD2,391.53
Hugo Azevedo,hugo.azevedo@catchit.pt,$2b$12$hWdKEuO1PZwXY0i5l0RYLu7BlOfsPpzIG5ZA4x1ZuIO.2pX6mUS0i,369.02
Rui Campos,rui.campos2@catchit.pt,$2b$12$pK5cC.1rJ0qXRwsXqKKrDOj.mL5kvUZjAGwcvYw7XuT9Q7pvZxXsa,14.1
Sofia Ramos,sofia.ramos1@catchit.pt,$2b$12$2nnsJV36BtiPkmZhBrvCSuiUmBrhmokgcK6XuBnpWf/yXwNK4l1aS,92.21
Raquel Costa,raquel.costa@catchit.pt,$2b$12$Y3OGXk3wiJhRBtBb48e.3Oy298f91jR9uiu3z4/Is9OCpLSrQzsiy,415.95
Fernando Cunha,fernando.cunha@catchit.pt,$2b$12$/EwDq.e8LM0j4H2YrmgeX.Zpo.FbgjXJCQDUVur86NEhQdPvAiWR2,470.75
Maria Ramos,maria.ramos@catchit.pt,$2b$12$fn387Z47DmvJykgeOvWrvODKwn5oQQ4wdsJDJcXet4G8VyrYmJY.S,244.41
Teresa Figueiredo,teresa.figueiredo1@catchit.pt,$2b$12$3W7Go2vdQVsop24vKfwmnOTTYFSCj9/3IGKVveUWfUM38zs/dOUQi,369.01
Maria Monteiro,maria.monteiro@catchit.pt,$2b$12$2q6h.LTKwJSoE9HyaOf2eOW1B0ueNopvudzCZugWNQ/Oaf/foo4me,212.91
Helena Simões,helena.simoes@catchit.pt,$2b$12$bDtCInw/wX9D2dkiiDGL4uNs58hbWfMexz7agfDW/R3XkWStVzTUe,358.95
Vanessa Ribeiro,vanessa.ribeiro@catchit.pt,$2b$12$.uHc76XUt5ARusaUDAhyeeU.HA5R5E1WgwPgaclKVrSijeKfI9UfG,269.4
Vasco Campos,vasco.campos1@catchit.pt,$2b$12$AMwXJLvRKzVFIYUNpq/COOP4JCUoqSFd9sOLYBv3oceXy4QGNJzEe,464.2
Tiago Tavares,tiago.tavares@catchit.pt,$2b$12$0t7HYV0rDD6Ui.tIo2BEe.jCrlLjwvKwKpIxMGFW.qZLw1Iv2KZoK,294.22
Marco Marques,marco.marques@catchit.pt,$2b$12$h1fGxKiCJ5LkSJDQLlp6yOzlEnISiun.JNtA51ASfTfc86c7rIYMO,403.28
Helena Marques,helena.marques1@catchit.pt,$2b$12$OBkfyjVKVMMq/Y1CdBKpf.LI62UlBHfrUAcFNQgwGSaZ7mafL2HCm,157.02
Marco Ribeiro,marco.ribeiro3@catchit.pt,$2b$12$txh6hYTHu6uVSUVDUXB2i.l9AA9PnoQXeY9nQ7UFD4thcS.m76Yi2,396.87
Jorge Cruz,jorge.cruz1@catchit.pt,$2b$12$Rb5Vum8RpZIKxaVtVNGcfuocfO8T3vOCGLxyncXWkq5t2hoxsLcqy,165.49
Carolina Nunes,carolina.nunes1@catchit.pt,$2b$12$.sP7rMPfSGWXe0GDbPjk4OWoSOvyA3Jh5BUVo9imvj4SWVnEkzlXi,352.83
Carolina Pinto,carolina.pinto1@catchit.pt,$2b$12$iFB9frYaki86eNA038YKw.qUrNLql.iGeacex6I84xaMqJnb1SB5.,296.25
Vítor Cunha,vitor.cunha@catchit.pt,$2b$12$BlopEMt0Flws6DaxaFErCO2WEK2zZ4J25r7cwp696k1XocBnKBRTq,339.81
João Fonseca,joao.fonseca1@catchit.pt,$2b$12$EnjV9tquSK/cX2or2EY9zOSkXdfSXnjD7y.Dfkl/Ho9GLY5m54Otu,390.09
Vasco Costa,vasco.costa@catchit.pt,$2b$12$TWOMRseeX7hh9NYIo3NrkOm9UiotAtv/m2892eLaL.cUVZ8sX2Pgq,383.35
Beatriz Ramos,beatriz.ramos1@catchit.pt,$2b$12$xhvJ.qqAP2kuPK76I9oYgORubKc6Si/t61shb/W2LiTIY5vCvsL/y,220.65
Helena Sousa,helena.sousa1@catchit.pt,$2b$12$DAlS2TbI/J8L8eegCQzhf.LH.7GuC1IdPbnu18b8iWtzOz00WKvxy,12.86
Rui Melo,rui.melo1@catchit.pt,$2b$12$r/90XwpwAvEcAwrEFLtu5.a03ddp1D5sebQGONlY9Vquu2ZTzc7v2,406.54
Eduardo Tavares,eduardo.tavares@catchit.pt,$2b$12$VMELlwUKv6q1pHLcrNitheCjXAUEsb9RJGQh/HAYMS7Y0fDJ3KX.u,120.73
Marta Simões,marta.simoes1@catchit.pt,$2b$12$7Wro94KEj3ScmSxSe1cuJeiCJNAOi31EQ/9Xn2eWFTFFcg1E5sbsy,379.62
Joana Pires,joana.pires@catchit.pt,$2b$12$kD0KBH.d5HXDwW9WOETZ4.tyJGfOBVIIeQqXUbbFGBNCQT5njkqka,440.09
Catarina Ferreira,catarina.ferreira@catchit.pt,$2b$12$BEb4SaqWB9B1TxrbJ8NXrupcl/GrkCRCFV0VYQUOrSyn5izfSHQYW,323.09
Susana Gonçalves,susana.goncalves@catchit.pt,$2b$12$HgHSIc0upKStVZLtCt/PL.ZPizcx0PJ6aX0gmqFtAvIL6b95CGou.,77.97
Nuno Melo,nuno.melo@catchit.pt,$2b$12$Bqy3BCRN.2mBToOmObNSQeLWL8ick94EBgzmy9Bki37Yc35LYZzeO,244.95
Vanessa Figueiredo,vanessa.figueiredo@catchit.pt,$2b$12$f3LN4V0K/691oij4/21OxOa849IvXbmHWasb1Rk3ygnd4c3eOdrW.,253.41
Ana Figueiredo,ana.figueiredo1@catchit.pt,$2b$12$ZygA6muzSFkzVqbQnFyCu.nZhL.BqoccfLRb9SvAKpw00yUwGwOfO,58.75
Sara Correia,sara.correia@catchit.pt,$2b$12$hZJ0MdvNwXrvT1jpyQ0hRu3.2bOik3BFDBaJNpxq62uz85wNmAwQq,298.06
Eduardo Mota,eduardo.mota@catchit.pt,$2b$12$uxhthnM7WS8g2VHgwi3YSuguBvCQd9blGuyJE5eKIqL6mXWyk08ui,0.05
Susana Melo,susana.melo1@catchit.pt,$2b$12$iMXt4/3SFJfIxCVtcWl.WOKJCuYdciodkVoZDi.ggs09gl8Gu0MFe,66.45
Rui Cunha,rui.cunha1@catchit.pt,$2b$12$GfQ3DgJ1NUZK2m0JPeuHzebJSnu2eKvbU5cfFcxNKnDAbwR.zl/vK,105.93
Eduardo Fernandes,eduardo.fernandes@catchit.pt,$2b$12$QYKRwMPIp1IWvieqnHQM3Oq6Aq14WgVVi47GdcCa67ZL6VDlfYxu2,124.79
Daniela Abreu,daniela.abreu1@catchit.pt,$2b$12$Hxdzcc0P.hXjJagJOnQXqO9WY9MLGDuJ2ipnDfox4NQq2oPQYXIF6,31.72
Carla Ribeiro,carla.ribeiro1@catchit.pt,$2b$12$GNtkEgXVtjL9aLJoH4diuO4QFJp7hNkVJnsNaEJxC8tWmURq0UODa,429.93
Teresa Pires,teresa.pires1@catchit.pt,$2b$12$8F.TM/ZnMHrp2jPbyuArGu5pTYrwTFaEtIO94XjUbRj5ajGXcfVzC,178.24
Teresa Sousa,teresa.sousa@catchit.pt,$2b$12$njABlPMPf.yLJf2nw4ticu8fMAHwYO13sWvvnVIzo6sCpgN7OCwni,202.32
Mónica Lopes,monica.lopes1@catchit.pt,$2b$12$s3XnhxzCXh7b0OMQ7i9NEu/XK2XSdgqXUfeYT7Ob3FcEehsg6uKHa,301.25
Joana Cruz,joana.cruz@catchit.pt,$2b$12$VxsOotOaqlLQBvpWFlx6m.CgfRqfnUqAbZg19aMDftReGPRmtdyjm,218.76
Carolina Vieira,carolina.vieira1@catchit.pt,$2b$12$.rE1pAPwEtlXcr6a9FRt2u1wak4VElg4kPQTwx7wL5BE8GERsYJA2,325.26
Susana Tavares,susana.tavares1@catchit.pt,$2b$12$H87CQZaY3dsISAtz3rcIY.kDrYhZXkdPA.N/5CNANTxv551HRkWu.,239.2
Miguel Rocha,miguel.rocha@catchit.pt,$2b$12$W8Y/s/9b26uNGITm54q6ku7xG2mL4.Fvw6LOJzuffG0udy9zg2vY.,1.8
Afonso Simões,afonso.simoes@catchit.pt,$2b$12$j9tfyQ/57tXDL/g.9bH4NuOQDgHC6KXdcGCJxbAl1pvzw4lQg3lcm,285.23
Marco Vieira,marco.vieira@catchit.pt,$2b$12$dn4uoek7eBUK8S7hrOBBXeIYmlZpoqt.W.NLVsnXfcEKopR1jtTYS,286.64
André Rocha,andre.rocha1@catchit.pt,$2b$12$CAj27rOiV3aEZlWiJ.Z/SOnYoUf0LSWeBMJaOwv8fbktExIo92GES,454.08
Pedro Soares,pedro.soares1@catchit.pt,$2b$12$axXZl6OECcvoxjIjiEPqSeDcb4qCH5ic.Rqdq7wtyWKtoD41g2b6S,420.92
Jorge Barbosa,jorge.barbosa@catchit.pt,$2b$12$.6M8RPGnHZsNFzTPxxC.dunRMeau6ejZeeiGwGlkIahQDKpD/uoaW,444.43
Jorge Ferreira,jorge.ferreira@catchit.pt,$2b$12$V9DY1VcHTZGySBRAx.7G9.IMCYtN7OEa6/IYFnObKAjOCAL/8ZBxG,423.57
Sara Fonseca,sara.fonseca1@catchit.pt,$2b$12$T7aea0PjaFgYy7/gpqw7duUVOPbAR4OS3d2htELa31BMTxV2056pa,106.64
Mónica Simões,monica.simoes@catchit.pt,$2b$12$81qJdMTZXoQw0Jgu074C5.hljoMvjocd.DrIQ.H0zQUY0ipyS2JC.,68.93
Raquel Marques,raquel.marques1@catchit.pt,$2b$12$1QWrv1BPvNZLgLw/UkBuEuFTRuod/d9742gDROsPeOLHOnBHOof1m,250.66
Eduardo Marques,eduardo.marques@catchit.pt,$2b$12$fTZ/Fet9iKhsW7ELMJUjwO1gpfUV.pYFc.LVTf/DuiJ.mGnH5Jbqa,131.13
Sérgio Oliveira,sergio.oliveira@catchit.pt,$2b$12$nBh0BdzoNJmYcgSaqhNtH.hfel6sJoXr/SUZCqNwGcGoRZGBmOfJO,439.28
Fernando Fernandes,fernando.fernandes@catchit.pt,$2b$12$8XBxNrejc3LPAKbrznwdL.g40AKVbFy11meZe/.UIPkF4dg/HTsDq,423.23
Teresa Cardoso,teresa.cardoso@catchit.pt,$2b$12$V/U5pGERTcWNwy3RUOgdyOkdWiKJPxMvKYp5Gtx27H7Q2FYlwxWB6,486.01
Joana Borges,joana.borges@catchit.pt,$2b$12$WTExwIXDK93uG8DdRLuFQ.Voq0DqnGW55L1Lu5sWqboeyYLSu14fW,68.13
Diana Sousa,diana.sousa@catchit.pt,$2b$12$8iSQiuV6AIIJhEejkt7ENucqjy6mBqkjaZASF2xc3Kty11qsqDoZa,97.29
Cláudia Fonseca,claudia.fonseca@catchit.pt,$2b$12$8nTngfco0TQYShZlcftKdOPNA5CCxRFaHRhhEuJfZky6TtIgZTBpe,232.85
Teresa Oliveira,teresa.oliveira@catchit.pt,$2b$12$r7fNUGGXyK84uYsxOzUPvuqN1ktorliGM1vaAqFtGrOBli6lflFiu,273.28
Mariana Reis,mariana.reis@catchit.pt,$2b$12$N1aBVycnwJ74YfJsHSc7FeqWWsrZvdpUP1iEd3C2oMgwH/9QnQXAe,78.03
Helena Figueiredo,helena.figueiredo2@catchit.pt,$2b$12$ikEhlXQriwoUZj50TRIruermpLY.55XYLp7DAsf24jF8QiLKESUj6,465.73
Patrícia Figueiredo,patricia.figueiredo@catchit.pt,$2b$12$dokhBsvEwVmrbFEEfGRijeDYQmRkHU96g9X/vW6R.HavmCfVPdA0y,362.0
Sérgio Cunha,sergio.cunha@catchit.pt,$2b$12$RYzPr0SuanwBbBKEQIXh0u7dvFC7EB8SdRC2UCdayCAtc/qFKuche,5.81
Teresa Dias,teresa.dias@catchit.pt,$2b$12$tGBIsJDE5jJyRY.uRB.GVOxreRK5x2GkepF.pbRCftjPavQSdOBl2,312.45
Tiago Simões,tiago.simoes1@catchit.pt,$2b$12$NHu3krIDsz1WKhFc1CzFLOuU.HTcHkVo.edCigkb84wnG2f1eA8Vm,65.78
Sofia Ribeiro,sofia.ribeiro@catchit.pt,$2b$12$3mcyrbLtcyY8YYBDumb.YOOLsLoqTNLMBGfEz/uXVWwR1vvGTFGkS,124.41
Mónica Rocha,monica.rocha@catchit.pt,$2b$12$ldjdZX5orwPSEXgGUMC/f.8p8AjOdLn.BSvaN5ef2HxRfxNjxtxPi,197.35
Rui Gonçalves,rui.goncalves@catchit.pt,$2b$12$nQeA1mIK44zoa8rkpOaTie1ipS.YGxaYEABb4FJmCHvO.MrknUhNW,358.88
Eduardo Tavares,eduardo.tavares1@catchit.pt,$2b$12$O0SJXlBzQutNrP.b4kiDe.ZGTgS9CZ61g5r3KhiSEpFJbYK2xPiby,499.26
Fernando Costa,fernando.costa@catchit.pt,$2b$12$P3zKxWjIZLyD.CMe54Z.CungkVNApBCggTlzdiGXa/7PVOifb5SBW,391.93
Leonor Cruz,leonor.cruz@catchit.pt,$2b$12$C/SRq.cg4a2jOPJzH94q6epLVMPeCU/NOShL81WXju6/kDkqkdmcm,177.66
Fernando Cunha,fernando.cunha1@catchit.pt,$2b$12$JFE4UXkN.pH.Sgpk9KN4O.dAIKH8Gj//nGNGfpw726chgDGPT.jEG,483.93
Hugo Costa,hugo.costa@catchit.pt,$2b$12$6EfHA3rfvoklgzQI7gD0QeGhc6cPgOpkBfa.j/3ub7.KEG3g5.pUy,102.38
Luís Reis,luis.reis1@catchit.pt,$2b$12$MB3JPbXIeddr0WMpD4XqBeV3u90lbZiid5w2BzkE53BV3NTF/6Tj6,67.07
Renato Rocha,renato.rocha@catchit.pt,$2b$12$psxrbQSRgOPZDDK/McIuf.Upwov/JQbFxnGkvzr8PzP.RVuxubff6,206.83
Diana Sousa,diana.sousa1@catchit.pt,$2b$12$x17sxi37l9CRF0XMugktTeOS9UKiVqzZU5ayuLcvJho5yzAfT48T.,127.39
Eduardo Lopes,eduardo.lopes@catchit.pt,$2b$12$KBrPDQnRRbIbKlfXccQfGe5PS1gNaHxW2/6IRbU3FcjL3FcxHmud2,440.02
Nuno Macedo,nuno.macedo@catchit.pt,$2b$12$WWAXoqYItEk7ZhMb8Uk2e.pOSSYMyt4lD7kjANoPyNpz77iKsuXlq,312.15
Catarina Ramos,catarina.ramos@catchit.pt,$2b$12$Cf5/a5s.cszBFdnU9VTGH.TYOL5Z20hUIrevGUVT2Gx81q22uePCe,231.12
Rodrigo Oliveira,rodrigo.oliveira1@catchit.pt,$2b$12$BqOlTyF0z5wsTUXyISkg.e0.TyC2sufENULBE0jIGo9gIEG6Mxovi,134.19
